Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/01/2022","0296","N216JB","BOS","07:00","00:00","145","0","0","00:00","0","0","0","0","0","0"
"B6","01/01/2022","0467","N193JB","FLL","05:49","05:46","111","96","-3","05:57","11","0","0","0","0","0"
"B6","01/01/2022","0567","N192JB","FLL","14:55","14:55","112","103","0","15:12","17","0","0","0","0","0"
"B6","01/01/2022","0696","N298JB","BOS","17:37","18:27","151","132","50","18:45","18","14","0","0","0","17"
"B6","01/01/2022","0720","N317JB","JFK","16:25","16:39","129","132","14","16:52","13","14","0","3","0","0"
"B6","01/01/2022","0920","N236JB","JFK","06:30","06:56","129","120","26","07:06","10","17","0","0","0","0"
"B6","01/01/2022","2606","N283JB","EWR","18:53","19:25","134","150","32","19:43","18","17","0","16","0","15"
"B6","01/02/2022","0296","N318JB","BOS","07:00","07:20","145","157","20","07:50","30","20","0","12","0","0"
"B6","01/02/2022","0467","N192JB","FLL","05:49","06:02","111","105","13","06:16","14","0","0","0","0","0"
"B6","01/02/2022","0567","N190JB","FLL","14:55","00:00","112","0","0","00:00","0","0","0","0","0","0"
"B6","01/02/2022","0696","N184JB","BOS","17:37","18:59","151","133","82","19:16","17","15","0","0","0","49"
"B6","01/02/2022","0720","N354JB","JFK","16:25","17:56","129","127","91","18:16","20","17","0","0","0","72"
"B6","01/02/2022","0920","N292JB","JFK","06:30","00:00","129","0","0","00:00","0","0","0","0","0","0"
"B6","01/02/2022","2606","N179JB","EWR","18:53","20:22","134","119","89","20:36","14","74","0","0","0","0"
"B6","01/03/2022","0296","N249JB","BOS","07:00","00:00","145","0","0","00:00","0","0","0","0","0","0"
"B6","01/03/2022","0467","N294JB","FLL","05:49","00:00","111","0","0","00:00","0","0","0","0","0","0"
"B6","01/03/2022","0567","N258JB","FLL","14:55","18:56","112","119","241","19:19","23","167","0","7","0","74"
"B6","01/03/2022","0696","N324JB","BOS","17:37","20:33","151","143","176","20:51","18","6","0","0","0","162"
"B6","01/03/2022","0720","N351JB","JFK","16:25","16:51","129","137","26","17:11","20","26","0","8","0","0"
"B6","01/03/2022","0920","N179JB","JFK","06:30","00:00","129","0","0","00:00","0","0","0","0","0","0"
"B6","01/03/2022","2606","N353JB","EWR","18:53","00:00","134","0","0","00:00","0","0","0","0","0","0"
"B6","01/04/2022","0296","N258JB","BOS","07:00","06:59","145","195","-1","08:06","67","0","0","49","0","0"
"B6","01/04/2022","0467","N294JB","FLL","05:49","00:00","111","0","0","00:00","0","0","0","0","0","0"
"B6","01/04/2022","0696","N316JB","BOS","17:37","18:16","151","147","39","18:31","15","13","0","0","0","22"
"B6","01/04/2022","0720","N318JB","JFK","16:25","17:53","129","135","88","18:08","15","35","0","6","0","53"
"B6","01/04/2022","0920","N353JB","JFK","06:30","06:58","129","152","28","07:43","45","28","0","23","0","0"
"B6","01/04/2022","2606","N229JB","EWR","18:53","00:00","134","0","0","00:00","0","0","0","0","0","0"
"B6","01/05/2022","0296","N703JB","BOS","05:45","06:07","147","137","22","06:18","11","0","0","0","0","0"
